name,cost_center,ccs,address,city,latitude,longitude,franchise,store_brand,display_brand,op_status,division_name,distance,country,url,services,franchise_brand
M7261,M7261,0,329 DERRY RD,HUDSON,42.819424,-71.413408,0,Circle K,Circle K,Open,greatlakes,281.61285348977225,US,/store-locator/US/hudson/329-derry-rd/M7261,"car_wash, gas, diesel, polar_pop, froster, roller_grill",
M7047,M7047,0,1227 MAIN ST,SANFORD,43.420531,-70.757191,0,Circle K,Circle K,Open,greatlakes,283.5624414783798,US,/store-locator/US/sanford/1227-main-st/M7047,"gas, diesel, coffee, polar_pop, roller_grill",
901,901,0,490 BOUL. SAINT-JUDE S,ALMA,48.5452833,-71.6595872,0,Couche-Tard,Couche-Tard,Open,quebec,283.9134563610842,CA,/store-locator/CA/alma/490-boul-saint-jude-s/901,"public_restrooms, atm, roller_grill, sloche",NA
1300,1300,0,"755, rue du Pont Sud",Alma,48.5383592,-71.6461228,0,Couche-Tard,Couche-Tard,Open,quebec,283.9672508808386,CA,/store-locator/CA/alma/755-rue-du-pont-sud/1300,"diesel, public_restrooms, atm",NA
67015,67015,1,4 Talbot St.,JARVIS,42.8847385,-80.1142911,0,Circle K,Circle K,Open,ontario,284.4274635781978,Canada,/store-ontario/Canada/jarvis/4-talbot-st/67015,"atm, coffee, polar_pop, froster, redbull_shop",NA
904,904,0,404 RUE DU PONT NORD,ALMA,48.5557667,-71.6396003,0,Couche-Tard,Couche-Tard,Open,quebec,285.03328766404775,CA,/store-locator/CA/alma/404-rue-du-pont-nord/904,"public_restrooms, atm, roller_grill, sloche, dhl",NA
M7101,M7101,0,255 SHAKER RD,GRAY,43.919091,-70.355833,0,Circle K,Circle K,Open,greatlakes,285.0796821741899,US,/store-locator/US/gray/255-shaker-rd/M7101,"gas, coffee, polar_pop, roller_grill",
M7033,M7033,0,700 MINOT AVE,AUBURN,44.081611,-70.256889,0,Circle K,Circle K,Open,greatlakes,285.1415825135947,US,/store-locator/US/auburn/700-minot-ave/M7033,"gas, diesel, coffee, polar_pop, roller_grill",
65079,65079,1,910 Yonge Street South,WALKERTON,44.1229251,-81.1504329,0,Circle K,Circle K,Open,ontario,285.3353540500875,Canada,/store-ontario/Canada/walkerton/910-yonge-street-south/65079,"EU_ADBLUE_SERVICE, EU_MADE_TO_GO_FAST_FOOD, EU_ROUTEX_ATLAS, EU_SIMPLY_GREAT_COFFEE, EU_TRUCKDIESEL_NETWORK, EU_WIFI, EU_ROAD_TAXES, EU_TOILETS_BOTH, gas, atm, coffee, polar_pop, froster, redbull_shop",NA
M7225,M7225,0,725 HIGH ST,SOMERSWORTH,43.223591,-70.886421,0,Circle K,Circle K,Open,greatlakes,285.59302783924767,US,/store-locator/US/somersworth/725-high-st/M7225,"gas, diesel, coffee, polar_pop, roller_grill",
M7206,M7206,0,249 CALEF HWY,EPPING,43.040894,-71.064845,0,Circle K,Circle K,Open,greatlakes,285.6848416477049,US,/store-locator/US/epping/249-calef-hwy/M7206,"gas, diesel, coffee, polar_pop, roller_grill",
939,939,0,2222 BOUL. WALLBERG,DOLBEAU-MISTASSINI,48.8837585,-72.2492847,0,Couche-Tard,Couche-Tard,Open,quebec,285.83257799657173,CA,/store-locator/CA/dolbeau-mistassini/2222-boul-wallberg/939,"diesel, public_restrooms",NA
M7075,M7075,0,1813 WASHINGTON ST S,AUBURN,44.034523,-70.268181,0,QSR-AMATO,Circle K,Open,greatlakes,285.887796831041,US,/store-locator/US/auburn/1813-washington-st-s/M7075,"coffee, polar_pop, roller_grill",
M7056,M7056,0,1813 WASHINGTON ST S,AUBURN,44.034523,-70.268181,0,Circle K,Circle K,Open,greatlakes,285.887796831041,US,/store-locator/US/auburn/1813-washington-st-s/M7056,"gas, diesel, coffee, polar_pop, froster, roller_grill",
65081,65081,1,57 Elora & First Street,MILDMAY,44.0413718,-81.1177329,0,MACS,Mac's,Open,ontario,285.9771574076889,Canada,/store-ontario/Canada/mildmay/57-elora-first-street/65081,"EU_ADBLUE_SERVICE, EU_LOUNGE, EU_MADE_TO_GO_FAST_FOOD, EU_ROUTEX_ATLAS, EU_SIMPLY_GREAT_COFFEE, EU_TRUCKDIESEL_NETWORK, EU_WIFI, EU_ATM, EU_ROAD_TAXES, EU_TOILETS_BOTH, atm, coffee, polar_pop, froster, redbull_shop",NA
M7055,M7055,0,21 CNETER ST,AUBURN,44.102692,-70.225685,0,Circle K,Circle K,Open,greatlakes,286.04844388486345,US,/store-locator/US/auburn/21-cneter-st/M7055,"gas, diesel, coffee, polar_pop, roller_grill",
908,908,0,1721 BOUL. WALLBERG,DOLBEAU-MISTASSINI,48.8813076,-72.2323397,0,Couche-Tard,Couche-Tard,Open,quebec,286.11720039995845,CA,/store-locator/CA/dolbeau-mistassini/1721-boul-wallberg/908,"public_restrooms, atm",NA
1744,1744,1,18 Snyder's Road,BADEN,43.4043811,-80.6697523,0,Circle K,Circle K,Open,ontario,286.22197219355434,Canada,/store-ontario/Canada/baden/18-snyder-s-road/1744,"gas, diesel, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
M7029,M7029,0,674 MAIN ST,LEWISTON,44.120509,-70.203242,0,Circle K,Circle K,Open,greatlakes,286.6381968016045,US,/store-locator/US/lewiston/674-main-st/M7029,"gas, diesel, coffee, polar_pop, roller_grill",
M7226,M7226,0,165 KNOX MARSH RD,DOVER,43.178855,-70.901896,0,Circle K,Circle K,Open,greatlakes,286.74138781470066,US,/store-locator/US/dover/165-knox-marsh-rd/M7226,"gas, diesel, coffee, polar_pop, roller_grill",
951,951,0,40 RUE DE QUEN,DOLBEAU-MISTASSINI,48.8899553,-72.2070008,0,Couche-Tard,Couche-Tard,Open,quebec,287.23460483914766,CA,/store-locator/CA/dolbeau-mistassini/40-rue-de-quen/951,"diesel, public_restrooms, atm, roller_grill, sloche",NA
62054,62054,1,275 Wallace Avenue North  ,LISTOWEL,43.7333116,-80.9520388,0,Circle K,Circle K,Open,ontario,287.4619828359118,Canada,/store-ontario/Canada/listowel/275-wallace-avenue-north/62054,"gas, atm, coffee, polar_pop, froster, redbull_shop",NA
1776,1776,1,145 Albert Street South,SOUTHAMPTON,44.4909316,-81.3751702,0,MACS,Mac's,Open,ontario,287.5308328664976,Canada,/store-ontario/Canada/southampton/145-albert-street-south/1776,"gas, diesel, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
M7120,M7120,0,748 RT 202,GREENE,44.192876,-70.139055,0,Circle K,Circle K,Open,greatlakes,287.8289801175887,US,/store-locator/US/greene/748-rt-202/M7120,"gas, coffee, polar_pop, roller_grill",
M7241,M7241,0,4A DOVER RD,DURHAM,43.133326,-70.920071,0,Circle K,Circle K,Open,greatlakes,287.8374301286538,US,/store-locator/US/durham/4a-dover-rd/M7241,"gas, diesel",
M7256,M7256,0,4A DOVER RD,DURHAM,43.133326,-70.920071,0,QSR-SUBWAY,Circle K,Open,greatlakes,287.8374301286538,US,/store-locator/US/durham/4a-dover-rd/M7256,,
M7035,M7035,0,92 MAIN ST,MADISON,44.797896,-69.881642,0,Circle K,Circle K,Open,greatlakes,288.0543139560071,US,/store-locator/US/madison/92-main-st/M7035,"gas, diesel, coffee, polar_pop, froster, roller_grill",
M7266,M7266,0,235 STAGE RD,HAMPSTEAD,42.8602,-71.1738,0,,Circle K,Open,greatlakes,289.21353343589857,US,/store-locator/US/hampstead/235-stage-rd/M7266,gas,
937,937,0,2704 Rue Saint-Dominique,JONQUIÈRE,48.4008339,-71.2611282,0,Couche-Tard,Couche-Tard,Limitation COVID-19,quebec,289.2852322382923,CA,/store-locator/CA/jonquiere/2704-rue-saint-dominique/937,"diesel, public_restrooms, sloche",NA
M7228,M7228,0,78 EXETER RD,NEWMARKET,43.070117,-70.93968,0,Circle K,Circle K,Open,greatlakes,289.64494285085635,US,/store-locator/US/newmarket/78-exeter-rd/M7228,"gas, diesel, coffee, polar_pop, roller_grill",
906,906,0,2600 RUE SAINT-HUBERT,JONQUIÈRE,48.4032283,-71.2505065,0,Couche-Tard,Couche-Tard,Open,quebec,289.73864833270954,CA,/store-locator/CA/jonquiere/2600-rue-saint-hubert/906,"public_restrooms, roller_grill, sloche",NA
M7238,M7238,0,238 NORTH BROADWAY,SALEM,42.79135,-71.235662,0,Circle K,Circle K,Open,greatlakes,289.89729968717245,US,/store-locator/US/salem/238-north-broadway/M7238,"gas, diesel, coffee, polar_pop, froster, roller_grill",
1800,1800,1,176 Goderich Street,PORT ELGIN,44.4260075,-81.3974592,0,MACS,Mac's,Open,ontario,289.93797373199845,Canada,/store-ontario/Canada/port-elgin/176-goderich-street/1800,"gas, diesel, atm, coffee, polar_pop, froster, roller_grill, redbull_shop",NA
900,900,0,2484 RUE SAINT-HUBERT,JONQUIÈRE,48.4072891,-71.2488704,0,Couche-Tard,Couche-Tard,Open,quebec,289.97959444867524,CA,/store-locator/CA/jonquiere/2484-rue-saint-hubert/900,"diesel, public_restrooms, atm",NA
910,910,0,4024 BOUL. DU ROYAUME,JONQUIÈRE,48.4255424,-71.261489,0,Couche-Tard,Couche-Tard,Open,quebec,290.42236783600896,CA,/store-locator/CA/jonquiere/4024-boul-du-royaume/910,"public_restrooms, atm",NA
2656054,2656054,0,680 POQUONOCK AVE,WINDSOR,41.872465,-72.6599336,1,Circle K,Circle K,Open,franchise,290.5769350765191,US,/store-locator/US/windsor/680-poquonock-ave/2656054,"gas, diesel, public_restrooms, coffee, polar_pop, roller_grill",CIRCLEK
936,936,0,3754 BOUL. DU ROYAUME,JONQUIÈRE,48.4230152,-71.2435783,0,Couche-Tard,Couche-Tard,Open,quebec,290.87983007851466,CA,/store-locator/CA/jonquiere/3754-boul-du-royaume/936,"car_wash, gas, diesel, public_restrooms, atm",NA
942,942,0,3635 BOUL. DU ROYAUME,JONQUIÈRE,48.421177,-71.2350615,0,Couche-Tard,Couche-Tard,Open,quebec,291.06846624055885,CA,/store-locator/CA/jonquiere/3635-boul-du-royaume/942,"diesel, public_restrooms, atm",NA
2654118,2654118,0,356 BLOOMFIELD AVE,WINDSOR,41.852661,-72.662145,1,Circle K,Circle K,Open,franchise,291.69761215057935,US,/store-locator/US/windsor/356-bloomfield-ave/2654118,"gas, diesel, coffee, polar_pop, roller_grill",CIRCLEK
1029,1029,1,500 Main St. ,PORT DOVER,42.7889495,-80.2060086,0,Circle K,Circle K,Open,ontario,292.45070835187437,Canada,/store-ontario/Canada/port-dover/500-main-st/1029,"atm, coffee, polar_pop, froster, redbull_shop",NA
193,193,0,2615 BOUL. DU ROYAUME,DOLBEAU-MISTASSINI,48.4044261,-71.1667835,0,Couche-Tard,Couche-Tard,Open,quebec,292.5063281638959,CA,/store-locator/CA/dolbeau-mistassini/2615-boul-du-royaume/193,"public_restrooms, atm",NA
M7062,M7062,0,162 HAROLD L DOW HWY,ELIOT,43.149254,-70.794189,0,Circle K,Circle K,Open,greatlakes,292.51701626168176,US,/store-locator/US/eliot/162-harold-l-dow-hwy/M7062,"gas, diesel, coffee, polar_pop, roller_grill",
M7109,M7109,0,48 MAIN ST,WINTHROP,44.305816,-69.975111,0,Circle K,Circle K,Open,greatlakes,292.93132128985843,US,/store-locator/US/winthrop/48-main-st/M7109,"gas, coffee, polar_pop, roller_grill",
